 connect:0.009568s pretransfer:0.009723s starttransfer:0.014244s total:0.014389
 connect:0.147732s pretransfer:0.147834s starttransfer:0.151130s total:0.151257
 connect:0.024116s pretransfer:0.024409s starttransfer:0.031272s total:0.031416
 connect:0.028499s pretransfer:0.028667s starttransfer:0.039050s total:0.039182
 connect:0.027318s pretransfer:0.027445s starttransfer:0.031570s total:0.031692
 connect:0.028189s pretransfer:0.028364s starttransfer:0.034091s total:0.034229
 connect:0.026922s pretransfer:0.027048s starttransfer:0.031464s total:0.031611
 connect:0.026054s pretransfer:0.026191s starttransfer:0.039194s total:0.039380
 connect:0.035158s pretransfer:0.035317s starttransfer:0.043669s total:0.043862
 connect:0.028039s pretransfer:0.028266s starttransfer:0.036275s total:0.036411
 connect:0.041731s pretransfer:0.041882s starttransfer:0.046508s total:0.046663
 connect:0.037257s pretransfer:0.037427s starttransfer:0.045615s total:0.045893
 connect:0.043933s pretransfer:0.044105s starttransfer:0.050054s total:0.050239
 connect:0.055900s pretransfer:0.056042s starttransfer:0.067722s total:0.067871
 connect:0.036820s pretransfer:0.037008s starttransfer:0.044569s total:0.044732
 connect:0.036036s pretransfer:0.036392s starttransfer:0.043154s total:0.043490
 connect:0.027039s pretransfer:0.027169s starttransfer:0.035940s total:0.036093
 connect:0.065553s pretransfer:0.065744s starttransfer:0.077336s total:0.077578
 connect:0.043093s pretransfer:0.043280s starttransfer:0.050619s total:0.050905
 connect:0.126405s pretransfer:0.126567s starttransfer:0.131358s total:0.131516
 connect:0.034228s pretransfer:0.034383s starttransfer:0.042755s total:0.042944
 connect:0.047332s pretransfer:0.047683s starttransfer:0.053452s total:0.053607
 connect:0.045105s pretransfer:0.045240s starttransfer:0.053046s total:0.053190
 connect:0.044824s pretransfer:0.044987s starttransfer:0.051822s total:0.051978
 connect:0.027421s pretransfer:0.027525s starttransfer:0.030783s total:0.030919
 connect:0.025294s pretransfer:0.025477s starttransfer:0.030829s total:0.031023
 connect:0.026971s pretransfer:0.027129s starttransfer:0.032379s total:0.032536
 connect:0.027302s pretransfer:0.027433s starttransfer:0.033067s total:0.033176
 connect:0.021198s pretransfer:0.021332s starttransfer:0.026646s total:0.026785
 connect:0.026402s pretransfer:0.026506s starttransfer:0.030085s total:0.030229
 connect:0.043301s pretransfer:0.043662s starttransfer:0.050589s total:0.050894
 connect:0.039403s pretransfer:0.039517s starttransfer:0.043978s total:0.044120
 connect:0.037411s pretransfer:0.037584s starttransfer:0.043982s total:0.044203
 connect:0.046850s pretransfer:0.047003s starttransfer:0.050204s total:0.050332
 connect:0.021769s pretransfer:0.021961s starttransfer:0.026911s total:0.027036
 connect:0.027150s pretransfer:0.027271s starttransfer:0.031991s total:0.032116
 connect:0.024591s pretransfer:0.024706s starttransfer:0.028909s total:0.029052
 connect:0.030744s pretransfer:0.030883s starttransfer:0.040360s total:0.040491
 connect:0.023883s pretransfer:0.023985s starttransfer:0.028795s total:0.028933
 connect:0.042887s pretransfer:0.043077s starttransfer:0.049997s total:0.050131
 connect:0.033153s pretransfer:0.033288s starttransfer:0.039310s total:0.039469
 connect:0.040048s pretransfer:0.040212s starttransfer:0.045436s total:0.045574
 connect:0.055252s pretransfer:0.055399s starttransfer:0.070098s total:0.070338
 connect:0.047944s pretransfer:0.048081s starttransfer:0.054387s total:0.054602
 connect:0.024096s pretransfer:0.024233s starttransfer:0.030466s total:0.030613
 connect:0.049355s pretransfer:0.049503s starttransfer:0.057459s total:0.057620
 connect:0.030027s pretransfer:0.030147s starttransfer:0.033634s total:0.033782
 connect:0.055513s pretransfer:0.055662s starttransfer:0.063373s total:0.063574
 connect:0.053661s pretransfer:0.053911s starttransfer:0.060202s total:0.060496
 connect:0.036535s pretransfer:0.036703s starttransfer:0.045673s total:0.045964
 connect:0.063163s pretransfer:0.063352s starttransfer:0.070288s total:0.070438
 connect:0.034366s pretransfer:0.034563s starttransfer:0.042139s total:0.042268
 connect:0.041747s pretransfer:0.041956s starttransfer:0.052396s total:0.052660
 connect:0.037098s pretransfer:0.037245s starttransfer:0.041669s total:0.041798
 connect:0.033491s pretransfer:0.033665s starttransfer:0.038202s total:0.038340
 connect:0.036678s pretransfer:0.036859s starttransfer:0.046424s total:0.046555
 connect:0.044135s pretransfer:0.044252s starttransfer:0.049612s total:0.049759
 connect:0.031088s pretransfer:0.031218s starttransfer:0.035296s total:0.035435
 connect:0.033847s pretransfer:0.034006s starttransfer:0.039872s total:0.040148
 connect:0.040775s pretransfer:0.040913s starttransfer:0.044068s total:0.044259
 connect:0.031879s pretransfer:0.032007s starttransfer:0.036354s total:0.036591
 connect:0.026858s pretransfer:0.026960s starttransfer:0.031013s total:0.031131
 connect:0.045864s pretransfer:0.046167s starttransfer:0.050546s total:0.050665
 connect:0.026391s pretransfer:0.026511s starttransfer:0.031172s total:0.031400
 connect:0.032356s pretransfer:0.032486s starttransfer:0.036463s total:0.036583
 connect:0.022086s pretransfer:0.022214s starttransfer:0.028266s total:0.028386
 connect:0.019381s pretransfer:0.019516s starttransfer:0.024628s total:0.024762
 connect:0.031699s pretransfer:0.031923s starttransfer:0.036471s total:0.036579
 connect:0.031557s pretransfer:0.031749s starttransfer:0.035499s total:0.035637
 connect:0.027011s pretransfer:0.027149s starttransfer:0.031287s total:0.031446
 connect:0.024174s pretransfer:0.024301s starttransfer:0.029899s total:0.030046
 connect:0.016888s pretransfer:0.017002s starttransfer:0.022474s total:0.022596
 connect:0.028527s pretransfer:0.028656s starttransfer:0.033276s total:0.033407
 connect:0.148061s pretransfer:0.148190s starttransfer:0.152491s total:0.152654
 connect:0.041789s pretransfer:0.041939s starttransfer:0.052922s total:0.053064
 connect:0.030233s pretransfer:0.030392s starttransfer:0.034924s total:0.035094
 connect:0.040947s pretransfer:0.041100s starttransfer:0.047101s total:0.047337
 connect:0.030148s pretransfer:0.030256s starttransfer:0.036959s total:0.037143
 connect:0.044726s pretransfer:0.044851s starttransfer:0.050552s total:0.050811
 connect:0.038997s pretransfer:0.039150s starttransfer:0.043151s total:0.043285
 connect:0.042747s pretransfer:0.042893s starttransfer:0.055325s total:0.055460
 connect:0.019142s pretransfer:0.019292s starttransfer:0.030967s total:0.031256
 connect:0.037957s pretransfer:0.038136s starttransfer:0.043546s total:0.043674
 connect:0.030121s pretransfer:0.030252s starttransfer:0.033937s total:0.034056
 connect:0.035386s pretransfer:0.035601s starttransfer:0.044568s total:0.044822
 connect:0.039821s pretransfer:0.039987s starttransfer:0.045638s total:0.045789
 connect:0.036125s pretransfer:0.036295s starttransfer:0.041584s total:0.041724
 connect:0.025693s pretransfer:0.025798s starttransfer:0.030239s total:0.030361
 connect:0.028217s pretransfer:0.028362s starttransfer:0.035287s total:0.035417
 connect:0.031495s pretransfer:0.031598s starttransfer:0.037350s total:0.037478
 connect:0.048445s pretransfer:0.048681s starttransfer:0.060057s total:0.060239
 connect:0.023947s pretransfer:0.024216s starttransfer:0.032221s total:0.032364
 connect:0.030359s pretransfer:0.030496s starttransfer:0.035334s total:0.035480
 connect:0.036033s pretransfer:0.036218s starttransfer:0.041867s total:0.042019
 connect:0.027514s pretransfer:0.027673s starttransfer:0.036345s total:0.036471
 connect:0.030019s pretransfer:0.030154s starttransfer:0.034706s total:0.034833
 connect:0.037287s pretransfer:0.037398s starttransfer:0.041351s total:0.041475
 connect:0.023676s pretransfer:0.023992s starttransfer:0.029545s total:0.029658
 connect:0.033036s pretransfer:0.033127s starttransfer:0.037057s total:0.037166
 connect:0.027251s pretransfer:0.027386s starttransfer:0.031300s total:0.031460
 connect:0.023047s pretransfer:0.023153s starttransfer:0.027241s total:0.027380
 connect:0.018999s pretransfer:0.019106s starttransfer:0.023445s total:0.023569
 connect:0.036570s pretransfer:0.036678s starttransfer:0.041633s total:0.041811
 connect:0.032547s pretransfer:0.032676s starttransfer:0.037496s total:0.037655
 connect:0.019841s pretransfer:0.019923s starttransfer:0.024267s total:0.024437
 connect:0.022448s pretransfer:0.022586s starttransfer:0.027658s total:0.027774
 connect:0.029453s pretransfer:0.029569s starttransfer:0.033632s total:0.033775
 connect:0.024564s pretransfer:0.024696s starttransfer:0.028618s total:0.028754
 connect:0.021405s pretransfer:0.021498s starttransfer:0.025727s total:0.025944
 connect:0.034169s pretransfer:0.034310s starttransfer:0.039035s total:0.039150
 connect:0.021755s pretransfer:0.021890s starttransfer:0.025800s total:0.025933
 connect:0.013918s pretransfer:0.014021s starttransfer:0.020223s total:0.020396
 connect:0.024062s pretransfer:0.024166s starttransfer:0.028492s total:0.028801
 connect:0.025945s pretransfer:0.026101s starttransfer:0.030902s total:0.031029
 connect:0.027994s pretransfer:0.028158s starttransfer:0.039561s total:0.039806
 connect:0.027787s pretransfer:0.027956s starttransfer:0.035386s total:0.035548
 connect:0.029878s pretransfer:0.030019s starttransfer:0.042700s total:0.042925
 connect:0.030972s pretransfer:0.031121s starttransfer:0.038397s total:0.038522
 connect:0.029371s pretransfer:0.029653s starttransfer:0.034803s total:0.034937
 connect:0.029312s pretransfer:0.029433s starttransfer:0.035621s total:0.035760
 connect:0.036223s pretransfer:0.036353s starttransfer:0.044077s total:0.044288
 connect:0.027884s pretransfer:0.028028s starttransfer:0.031379s total:0.031510
 connect:0.023798s pretransfer:0.023930s starttransfer:0.031078s total:0.031257
 connect:0.036225s pretransfer:0.036373s starttransfer:0.041733s total:0.041858
 connect:0.035003s pretransfer:0.035112s starttransfer:0.040435s total:0.040579
 connect:0.044077s pretransfer:0.044257s starttransfer:0.051035s total:0.051209
 connect:0.030385s pretransfer:0.030517s starttransfer:0.034684s total:0.034835
 connect:0.023693s pretransfer:0.023836s starttransfer:0.031359s total:0.031493
 connect:0.034300s pretransfer:0.034475s starttransfer:0.043339s total:0.043539
 connect:0.069124s pretransfer:0.069267s starttransfer:0.074900s total:0.075097
 connect:0.019829s pretransfer:0.020002s starttransfer:0.026721s total:0.026995
 connect:0.042841s pretransfer:0.042978s starttransfer:0.048862s total:0.048991
 connect:0.027193s pretransfer:0.027333s starttransfer:0.034388s total:0.034516
 connect:0.031525s pretransfer:0.031654s starttransfer:0.036182s total:0.036326
 connect:0.017227s pretransfer:0.017326s starttransfer:0.020481s total:0.020590
 connect:0.031778s pretransfer:0.031912s starttransfer:0.035999s total:0.036218
 connect:0.033140s pretransfer:0.033262s starttransfer:0.037121s total:0.037273
 connect:0.033259s pretransfer:0.033373s starttransfer:0.037487s total:0.037617
 connect:0.023328s pretransfer:0.023456s starttransfer:0.030147s total:0.030269
 connect:0.025428s pretransfer:0.025552s starttransfer:0.030606s total:0.030789
 connect:0.019103s pretransfer:0.019234s starttransfer:0.024243s total:0.024395
 connect:0.020247s pretransfer:0.020407s starttransfer:0.027116s total:0.027307
 connect:0.020333s pretransfer:0.020459s starttransfer:0.024332s total:0.024497
 connect:0.019448s pretransfer:0.019571s starttransfer:0.023792s total:0.023918
 connect:0.018849s pretransfer:0.018952s starttransfer:0.022661s total:0.022796
 connect:0.023456s pretransfer:0.023545s starttransfer:0.028749s total:0.028917
 connect:0.025184s pretransfer:0.025437s starttransfer:0.030282s total:0.030400
 connect:0.022097s pretransfer:0.022245s starttransfer:0.034926s total:0.035065
 connect:0.029467s pretransfer:0.029608s starttransfer:0.033642s total:0.033775
 connect:0.147604s pretransfer:0.147713s starttransfer:0.152457s total:0.152585
 connect:0.036116s pretransfer:0.036319s starttransfer:0.047224s total:0.047377
 connect:0.020929s pretransfer:0.021042s starttransfer:0.031424s total:0.031642
 connect:0.028488s pretransfer:0.028749s starttransfer:0.036131s total:0.036255
 connect:0.025291s pretransfer:0.025535s starttransfer:0.031344s total:0.031459
 connect:0.028348s pretransfer:0.028511s starttransfer:0.032642s total:0.032766
 connect:0.053666s pretransfer:0.053790s starttransfer:0.063380s total:0.063516
 connect:0.030439s pretransfer:0.030549s starttransfer:0.037645s total:0.037773
 connect:0.035650s pretransfer:0.035819s starttransfer:0.041588s total:0.041716
 connect:0.025818s pretransfer:0.025927s starttransfer:0.031984s total:0.032116
 connect:0.024075s pretransfer:0.024219s starttransfer:0.032278s total:0.032480
 connect:0.035852s pretransfer:0.036065s starttransfer:0.041658s total:0.041867
 connect:0.031453s pretransfer:0.031590s starttransfer:0.037458s total:0.037606
 connect:0.039639s pretransfer:0.039766s starttransfer:0.045220s total:0.045392
 connect:0.026791s pretransfer:0.026962s starttransfer:0.032415s total:0.032569
 connect:0.037242s pretransfer:0.037394s starttransfer:0.045661s total:0.045781
 connect:0.027559s pretransfer:0.027739s starttransfer:0.032802s total:0.032949
 connect:0.035378s pretransfer:0.035516s starttransfer:0.040918s total:0.041146
 connect:0.034234s pretransfer:0.034362s starttransfer:0.039706s total:0.039839
 connect:0.032305s pretransfer:0.032525s starttransfer:0.038254s total:0.038375
 connect:0.031230s pretransfer:0.031386s starttransfer:0.036915s total:0.037055
 connect:0.030350s pretransfer:0.030501s starttransfer:0.041838s total:0.042006
 connect:0.048097s pretransfer:0.048247s starttransfer:0.053976s total:0.054128
 connect:0.027716s pretransfer:0.027935s starttransfer:0.033574s total:0.033692
 connect:0.032037s pretransfer:0.032135s starttransfer:0.035637s total:0.035748
 connect:0.031144s pretransfer:0.031287s starttransfer:0.035552s total:0.035757
 connect:0.022372s pretransfer:0.022487s starttransfer:0.029061s total:0.029206
 connect:0.019034s pretransfer:0.019158s starttransfer:0.023248s total:0.023393
 connect:0.017782s pretransfer:0.017913s starttransfer:0.022386s total:0.022576
 connect:0.028818s pretransfer:0.028979s starttransfer:0.034839s total:0.034995
 connect:0.068947s pretransfer:0.069071s starttransfer:0.074028s total:0.074237
 connect:0.021052s pretransfer:0.021142s starttransfer:0.024927s total:0.025037
 connect:0.019902s pretransfer:0.019999s starttransfer:0.024933s total:0.025091
 connect:0.020808s pretransfer:0.020906s starttransfer:0.024993s total:0.025105
 connect:0.025703s pretransfer:0.025841s starttransfer:0.034678s total:0.034852
 connect:0.025335s pretransfer:0.025447s starttransfer:0.029737s total:0.029873
 connect:0.029898s pretransfer:0.030077s starttransfer:0.033868s total:0.034013
 connect:0.030541s pretransfer:0.030717s starttransfer:0.035637s total:0.035746
 connect:0.026165s pretransfer:0.026383s starttransfer:0.038761s total:0.039269
 connect:0.020220s pretransfer:0.020428s starttransfer:0.029617s total:0.029787
 connect:0.036209s pretransfer:0.036373s starttransfer:0.045365s total:0.045559
 connect:0.034882s pretransfer:0.035017s starttransfer:0.042235s total:0.042370
 connect:0.046892s pretransfer:0.047035s starttransfer:0.052304s total:0.052422
 connect:0.030424s pretransfer:0.030540s starttransfer:0.035810s total:0.035937
 connect:0.028718s pretransfer:0.028901s starttransfer:0.039720s total:0.039868
 connect:0.042342s pretransfer:0.042480s starttransfer:0.051767s total:0.051931
 connect:0.037929s pretransfer:0.038082s starttransfer:0.052889s total:0.053022
 connect:0.032113s pretransfer:0.032229s starttransfer:0.038474s total:0.038623
 connect:0.029505s pretransfer:0.029610s starttransfer:0.034017s total:0.034143
 connect:0.029884s pretransfer:0.030003s starttransfer:0.034769s total:0.034892
 connect:0.023905s pretransfer:0.024090s starttransfer:0.031512s total:0.031669
 connect:0.047257s pretransfer:0.047379s starttransfer:0.052922s total:0.053063
 connect:0.034116s pretransfer:0.034271s starttransfer:0.041464s total:0.041610
 connect:0.024879s pretransfer:0.025062s starttransfer:0.029546s total:0.029688
 connect:0.010516s pretransfer:0.010647s starttransfer:0.015262s total:0.015468
 connect:0.037485s pretransfer:0.037638s starttransfer:0.044213s total:0.044382
 connect:0.024950s pretransfer:0.025066s starttransfer:0.032463s total:0.032601
 connect:0.041228s pretransfer:0.041370s starttransfer:0.046888s total:0.047064
 connect:0.026094s pretransfer:0.026282s starttransfer:0.031723s total:0.031845
 connect:0.038658s pretransfer:0.038824s starttransfer:0.044149s total:0.044300
 connect:0.035015s pretransfer:0.035146s starttransfer:0.040857s total:0.040989
 connect:0.035773s pretransfer:0.035913s starttransfer:0.039109s total:0.039225
 connect:0.025531s pretransfer:0.025746s starttransfer:0.031552s total:0.031660
 connect:0.031500s pretransfer:0.031626s starttransfer:0.036216s total:0.036426
 connect:0.033682s pretransfer:0.033795s starttransfer:0.037628s total:0.037761
 connect:0.022374s pretransfer:0.022482s starttransfer:0.026616s total:0.026740
 connect:0.028824s pretransfer:0.029040s starttransfer:0.034612s total:0.034767
 connect:0.033579s pretransfer:0.033695s starttransfer:0.038183s total:0.038300
 connect:0.023206s pretransfer:0.023302s starttransfer:0.026982s total:0.027093
 connect:0.066920s pretransfer:0.067038s starttransfer:0.071795s total:0.071926
 connect:0.032409s pretransfer:0.032561s starttransfer:0.038390s total:0.038570
 connect:0.030971s pretransfer:0.031070s starttransfer:0.035115s total:0.035237
 connect:0.026707s pretransfer:0.026801s starttransfer:0.029997s total:0.030103
 connect:0.031469s pretransfer:0.031558s starttransfer:0.035222s total:0.035340
 connect:0.029973s pretransfer:0.030098s starttransfer:0.033873s total:0.033992
 connect:0.032259s pretransfer:0.032405s starttransfer:0.036565s total:0.036711
 connect:0.024113s pretransfer:0.024252s starttransfer:0.035077s total:0.035190
 connect:0.029104s pretransfer:0.029252s starttransfer:0.040582s total:0.040740
 connect:0.036025s pretransfer:0.036215s starttransfer:0.041380s total:0.041512
 connect:0.033240s pretransfer:0.033346s starttransfer:0.041314s total:0.041462
 connect:0.036224s pretransfer:0.036458s starttransfer:0.041942s total:0.042095
 connect:0.022900s pretransfer:0.023063s starttransfer:0.032806s total:0.032952
 connect:0.026679s pretransfer:0.026812s starttransfer:0.032749s total:0.032877
 connect:0.028547s pretransfer:0.028666s starttransfer:0.034202s total:0.034346
 connect:0.028164s pretransfer:0.028307s starttransfer:0.036430s total:0.036601
 connect:0.024980s pretransfer:0.025161s starttransfer:0.032094s total:0.032479
 connect:0.038666s pretransfer:0.038823s starttransfer:0.045876s total:0.046097
 connect:0.044514s pretransfer:0.044666s starttransfer:0.053850s total:0.053982
 connect:0.028800s pretransfer:0.028965s starttransfer:0.033804s total:0.033962
 connect:0.024901s pretransfer:0.025070s starttransfer:0.030676s total:0.030805
 connect:0.029212s pretransfer:0.029386s starttransfer:0.037796s total:0.037915
 connect:0.027724s pretransfer:0.027848s starttransfer:0.033190s total:0.033317
 connect:0.038247s pretransfer:0.038389s starttransfer:0.044876s total:0.045057
 connect:0.034670s pretransfer:0.034824s starttransfer:0.040011s total:0.040163
 connect:0.029617s pretransfer:0.029757s starttransfer:0.035108s total:0.035281
 connect:0.035772s pretransfer:0.035920s starttransfer:0.040432s total:0.040561
 connect:0.028673s pretransfer:0.028789s starttransfer:0.035385s total:0.035510
 connect:0.037802s pretransfer:0.037940s starttransfer:0.045825s total:0.046074
 connect:0.034942s pretransfer:0.035110s starttransfer:0.038865s total:0.039027
 connect:0.027217s pretransfer:0.027308s starttransfer:0.030549s total:0.030660
 connect:0.031162s pretransfer:0.031305s starttransfer:0.034825s total:0.034966
 connect:0.026792s pretransfer:0.026921s starttransfer:0.030369s total:0.030473
 connect:0.026896s pretransfer:0.026999s starttransfer:0.031430s total:0.031658
 connect:0.018163s pretransfer:0.018315s starttransfer:0.023362s total:0.023483
 connect:0.026908s pretransfer:0.027050s starttransfer:0.034568s total:0.034705
 connect:0.026092s pretransfer:0.026251s starttransfer:0.030737s total:0.031007
 connect:0.029302s pretransfer:0.029403s starttransfer:0.033309s total:0.033422
 connect:0.027405s pretransfer:0.027593s starttransfer:0.032355s total:0.032495
 connect:0.028712s pretransfer:0.028793s starttransfer:0.032697s total:0.032811
 connect:0.020947s pretransfer:0.021046s starttransfer:0.026544s total:0.026679
 connect:0.030793s pretransfer:0.030900s starttransfer:0.035303s total:0.035418
 connect:0.036038s pretransfer:0.036225s starttransfer:0.040753s total:0.040948
 connect:0.033169s pretransfer:0.033247s starttransfer:0.037295s total:0.037432
 connect:0.026400s pretransfer:0.026497s starttransfer:0.031288s total:0.031465
 connect:0.030661s pretransfer:0.030804s starttransfer:0.035696s total:0.035825
 connect:0.034288s pretransfer:0.034420s starttransfer:0.040187s total:0.040330
 connect:0.038850s pretransfer:0.039080s starttransfer:0.045718s total:0.045839
 connect:0.034905s pretransfer:0.035059s starttransfer:0.040173s total:0.040323
 connect:0.022700s pretransfer:0.022827s starttransfer:0.030448s total:0.030580
 connect:0.032793s pretransfer:0.032947s starttransfer:0.037133s total:0.037275
 connect:0.031949s pretransfer:0.032114s starttransfer:0.036321s total:0.036463
 connect:0.036692s pretransfer:0.037037s starttransfer:0.044610s total:0.044766
 connect:0.035275s pretransfer:0.035453s starttransfer:0.048316s total:0.048451
 connect:0.034345s pretransfer:0.034471s starttransfer:0.044269s total:0.044408
 connect:0.028934s pretransfer:0.029062s starttransfer:0.036989s total:0.037143
 connect:0.038242s pretransfer:0.038379s starttransfer:0.042206s total:0.042323
 connect:0.042261s pretransfer:0.042420s starttransfer:0.051667s total:0.051860
 connect:0.025736s pretransfer:0.025929s starttransfer:0.033791s total:0.033920
 connect:0.025254s pretransfer:0.025412s starttransfer:0.033154s total:0.033308
 connect:0.025219s pretransfer:0.025358s starttransfer:0.030682s total:0.030823
 connect:0.026805s pretransfer:0.026941s starttransfer:0.032116s total:0.032260
 connect:0.027870s pretransfer:0.028015s starttransfer:0.033563s total:0.033708
 connect:0.030726s pretransfer:0.030859s starttransfer:0.036317s total:0.036466
 connect:0.038866s pretransfer:0.039058s starttransfer:0.048546s total:0.048670
 connect:0.032377s pretransfer:0.032484s starttransfer:0.042946s total:0.043097
 connect:0.034013s pretransfer:0.034144s starttransfer:0.039593s total:0.039727
 connect:0.034860s pretransfer:0.035048s starttransfer:0.045807s total:0.045956
 connect:0.033900s pretransfer:0.034167s starttransfer:0.042515s total:0.042670
 connect:0.038793s pretransfer:0.038944s starttransfer:0.045260s total:0.045399
 connect:0.026457s pretransfer:0.026566s starttransfer:0.029812s total:0.029926
 connect:0.020725s pretransfer:0.020833s starttransfer:0.025355s total:0.025504
 connect:0.028257s pretransfer:0.028511s starttransfer:0.035091s total:0.035205
 connect:0.024590s pretransfer:0.024741s starttransfer:0.028817s total:0.028950
 connect:0.024087s pretransfer:0.024229s starttransfer:0.030462s total:0.030589
 connect:0.030823s pretransfer:0.030942s starttransfer:0.035626s total:0.035843
 connect:0.030202s pretransfer:0.030345s starttransfer:0.035251s total:0.035494
 connect:0.033097s pretransfer:0.033195s starttransfer:0.036566s total:0.036670
 connect:0.025014s pretransfer:0.025109s starttransfer:0.028788s total:0.028935
 connect:0.029128s pretransfer:0.029270s starttransfer:0.032822s total:0.032938
 connect:0.021196s pretransfer:0.021326s starttransfer:0.024587s total:0.024703
 connect:0.029100s pretransfer:0.029245s starttransfer:0.033389s total:0.033547
 connect:0.029826s pretransfer:0.029941s starttransfer:0.034589s total:0.034702
 connect:0.032542s pretransfer:0.032665s starttransfer:0.036356s total:0.036501
 connect:0.020209s pretransfer:0.020318s starttransfer:0.023618s total:0.023761
 connect:0.034194s pretransfer:0.034309s starttransfer:0.037946s total:0.038092
 connect:0.144366s pretransfer:0.144510s starttransfer:0.148010s total:0.148196
 connect:0.124922s pretransfer:0.125322s starttransfer:0.137226s total:0.137381
 connect:0.054974s pretransfer:0.055194s starttransfer:0.063119s total:0.063374
 connect:0.046762s pretransfer:0.047007s starttransfer:0.055711s total:0.055877
 connect:0.041757s pretransfer:0.041879s starttransfer:0.059439s total:0.061168
 connect:0.053903s pretransfer:0.054093s starttransfer:0.063286s total:0.063542
 connect:0.033862s pretransfer:0.034022s starttransfer:0.041438s total:0.041597
 connect:0.053697s pretransfer:0.053846s starttransfer:0.058661s total:0.058834
 connect:0.038399s pretransfer:0.038545s starttransfer:0.044216s total:0.044345
 connect:0.041179s pretransfer:0.041587s starttransfer:0.056063s total:0.056259
 connect:0.034622s pretransfer:0.034766s starttransfer:0.051179s total:0.051359
 connect:0.033724s pretransfer:0.033902s starttransfer:0.041423s total:0.041572
 connect:0.037750s pretransfer:0.037905s starttransfer:0.041838s total:0.042026
 connect:0.041410s pretransfer:0.041548s starttransfer:0.050340s total:0.050515
 connect:0.039650s pretransfer:0.039765s starttransfer:0.045529s total:0.045658
 connect:0.021468s pretransfer:0.021610s starttransfer:0.030283s total:0.030622
 connect:0.038264s pretransfer:0.038409s starttransfer:0.044676s total:0.044831
 connect:0.042817s pretransfer:0.042964s starttransfer:0.048919s total:0.049054
 connect:0.038149s pretransfer:0.038263s starttransfer:0.048173s total:0.048475
 connect:0.025527s pretransfer:0.025733s starttransfer:0.032798s total:0.032939
 connect:0.032630s pretransfer:0.032754s starttransfer:0.039194s total:0.039455
 connect:0.024426s pretransfer:0.024587s starttransfer:0.030096s total:0.030250
 connect:0.034952s pretransfer:0.035133s starttransfer:0.040352s total:0.040484
 connect:0.031848s pretransfer:0.031979s starttransfer:0.037833s total:0.037991
 connect:0.024922s pretransfer:0.025062s starttransfer:0.029453s total:0.029583
 connect:0.025189s pretransfer:0.025353s starttransfer:0.030964s total:0.031135
 connect:0.023866s pretransfer:0.024188s starttransfer:0.029778s total:0.029889
 connect:0.033031s pretransfer:0.033118s starttransfer:0.039579s total:0.039831
 connect:0.023035s pretransfer:0.023178s starttransfer:0.027658s total:0.027775
 connect:0.022685s pretransfer:0.022938s starttransfer:0.028348s total:0.028466
 connect:0.025797s pretransfer:0.025904s starttransfer:0.029333s total:0.029473
 connect:0.039617s pretransfer:0.039756s starttransfer:0.047002s total:0.047180
 connect:0.036090s pretransfer:0.036244s starttransfer:0.044761s total:0.044924
 connect:0.020089s pretransfer:0.020323s starttransfer:0.026437s total:0.026628
 connect:0.024653s pretransfer:0.024812s starttransfer:0.029670s total:0.029801
 connect:0.023695s pretransfer:0.023846s starttransfer:0.027873s total:0.027995
 connect:0.022747s pretransfer:0.023017s starttransfer:0.028787s total:0.029023
 connect:0.028629s pretransfer:0.028747s starttransfer:0.034224s total:0.034393
 connect:0.033649s pretransfer:0.033769s starttransfer:0.037015s total:0.037159
 connect:0.029662s pretransfer:0.029763s starttransfer:0.034427s total:0.034553
 connect:0.019596s pretransfer:0.019744s starttransfer:0.027934s total:0.028142
 connect:0.041303s pretransfer:0.041455s starttransfer:0.047027s total:0.047187
 connect:0.038098s pretransfer:0.038923s starttransfer:0.054574s total:0.054837
 connect:0.025634s pretransfer:0.025782s starttransfer:0.033431s total:0.033579
 connect:0.041174s pretransfer:0.041340s starttransfer:0.050920s total:0.051036
 connect:0.031924s pretransfer:0.032033s starttransfer:0.038604s total:0.038763
 connect:0.051367s pretransfer:0.051514s starttransfer:0.057799s total:0.058043
 connect:0.024873s pretransfer:0.025040s starttransfer:0.030641s total:0.030762
 connect:0.030264s pretransfer:0.030423s starttransfer:0.041015s total:0.041178
 connect:0.035796s pretransfer:0.036133s starttransfer:0.042712s total:0.042878
 connect:0.022940s pretransfer:0.023300s starttransfer:0.034420s total:0.034555
 connect:0.032427s pretransfer:0.032853s starttransfer:0.042100s total:0.042295
 connect:0.026798s pretransfer:0.026931s starttransfer:0.032852s total:0.033038
 connect:0.041953s pretransfer:0.042178s starttransfer:0.048001s total:0.048260
 connect:0.032782s pretransfer:0.032940s starttransfer:0.040732s total:0.040914
 connect:0.036539s pretransfer:0.036680s starttransfer:0.041210s total:0.041470
 connect:0.031263s pretransfer:0.031410s starttransfer:0.038145s total:0.038271
 connect:0.037535s pretransfer:0.037707s starttransfer:0.043842s total:0.044048
 connect:0.029765s pretransfer:0.029927s starttransfer:0.034650s total:0.034819
 connect:0.029490s pretransfer:0.029632s starttransfer:0.034257s total:0.034397
 connect:0.043209s pretransfer:0.043347s starttransfer:0.053169s total:0.053335
 connect:0.045283s pretransfer:0.045417s starttransfer:0.055371s total:0.055498
 connect:0.021020s pretransfer:0.021142s starttransfer:0.024215s total:0.024351
 connect:0.026431s pretransfer:0.026651s starttransfer:0.031641s total:0.031777
